pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2017-08-08	Smartphone-based multi-contrast microscope using color-multiplexed illumination	Scientific REPORTS	A smartphone-based portable microscope enabling single-shot bright-field, dark-field, and differential phase contrast imaging of transparent specimens. Multi-contrast imaging is achieved using a patterned color micro-LED array and a color image sensor. A custom smartphone module and Android app perform image acquisition, computation, and real-time display.	Jung, D., Choi, JH., Kim, S. et al. Smartphone-based multi-contrast microscope using color-multiplexed illumination. Sci Rep 7, 7564 (2017)	paper1	http://academicpages.github.io/files/paper1.pdf	http://academicpages.github.io/files/slides1.pdf
2017-03-31	Single-exposure quantitative phase imaging in color-coded LED microscopy	OPTICS EXPRESS	A single-shot quantitative phase imaging method using a color-coded LED microscope (cLEDscope). Red, green, and blue LEDs illuminate the sample at different angles, and phase reconstruction is achieved through computation with a color image sensor. A correction scheme is introduced to address color leakage from non-ideal LED and sensor spectra, improving phase accuracy.	Wonchan Lee, Daeseong Jung, Suho Ryu, and Chulmin Joo, "Single-exposure quantitative phase imaging in color-coded LED microscopy," Opt. Express 25, 8398-8411 (2017)	paper2	http://academicpages.github.io/files/paper2.pdf	http://academicpages.github.io/files/slides2.pdf
2015-11-18	Color-coded LED microscopy for multi-contrast and quantitative phase-gradient imaging	BIOMEDICAL OPTICS EXPRESS	A multi-contrast microscopy method using color-coded LED illumination and computation. Bright-field, dark-field, and differential phase contrast (DPC) images are simultaneously obtained from a single color image. Quantitative phase imaging is achieved using DPC images acquired under two illumination patterns.	Donghak Lee, Suho Ryu, Uihan Kim, Daeseong Jung, and Chulmin Joo, "Color-coded LED microscopy for multi-contrast and quantitative phase-gradient imaging," Biomed. Opt. Express 6, 4912-4922 (2015)	paper3	http://academicpages.github.io/files/paper3.pdf	http://academicpages.github.io/files/slides2.pdf
